Source,Target,TE_Discrete,TE_kNN,Bias_kNN,TE_kNN_Corrected
DVN,MRO,-2.3032021000266774,2.3809145179701456,3.843348736255755,-1.4624342182856092
HAL,SLB,-2.2866275396455142,2.310530742792312,3.8423291423182264,-1.5317983995259143
COP,EOG,-2.393789311690564,2.252921520694721,3.8434393064516876,-1.5905177857569668
EOG,MRO,-2.3040967909551764,2.239431300973242,3.84321426594479,-1.6037829649715478
COP,MRO,-2.3189249465117823,2.226358008563973,3.8434393064516876,-1.6170812978877147
COP,XOM,-2.444410105613296,2.209132984073945,3.8434393064516876,-1.6343063223777428
DVN,EOG,-2.3995111169823966,2.2086200357187904,3.843348736255755,-1.6347287005369644
MRO,XOM,-2.476597028225376,2.194174544442558,3.843078382032415,-1.6489038375898568
CPE,MRO,-2.293272421790636,2.1832728859041897,3.84283386056963,-1.6595609746654403
MRO,MUR,-2.2798897976284946,2.183370221833721,3.843078382032415,-1.6597081601986936
